Scopus - Author details

,
,

"Author Name","Auth-ID","Number of Documents","Subject Area","Orc_ID"

"Saini, Bhavna","56289752800","4","Materials Science
Engineering
Mathematics
Computer Science
Energy
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
"
"Ledwani, Lalita","8965032600","22","Materials Science
Chemistry
Physics and Astronomy
Environmental Science
Agricultural and Biological Sciences
Engineering
Chemical Engineering
Immunology and Microbiology
Earth and Planetary Sciences
Pharmacology, Toxicology and Pharmaceutics
Medicine
Biochemistry, Genetics and Molecular Biology
"
"Prabhu, G. K.","57201819387","1","Medicine
Biochemistry, Genetics and Molecular Biology
"
"Singh, Jaideep P.","57204133074","2","Physics and Astronomy
Materials Science
Engineering
Computer Science
"
"Bhatt, Dhruv","57205291466","1","Engineering
Materials Science
"
"Shrotriya, Anita","57201883955","2","Computer Science
Mathematics
"
"Rawat, Manish","56435731700","6","Engineering
Business, Management and Accounting
Computer Science
"
"Theekay Veetil, Sadasivan","57191738834","1","Engineering
Chemistry
Materials Science
"
"Biswas, Sagar","57202646965","1","Computer Science
"
"Srivastava, Bhavna","56567513100","2","Medicine
Engineering
Materials Science
Computer Science
"
"Bhaskar, Khushbu","57206225481","1","Engineering
"
"Sharma, Rohini","57189384276","1","Computer Science
"
"Babu, Subith","57191373701","1","Computer Science
"
"Parmar, Amit","57197729563","11","Engineering
Chemical Engineering
Physics and Astronomy
Mathematics
Materials Science
Chemistry
"
"Sharma, Anupam K.","55605770422","8","Physics and Astronomy
Materials Science
Chemical Engineering
Chemistry
"
"Singh, Ayush","57200827242","2","Computer Science
Engineering
Decision Sciences
"
"Rewar, Ekta","56395512200","6","Computer Science
Engineering
Physics and Astronomy
Materials Science
Energy
Social Sciences
"
"Jhalani, Shubham","57191646861","1","Physics and Astronomy
"
"Jat, Suraj Karan","55646224400","5","Materials Science
Physics and Astronomy
Engineering
Chemistry
Pharmacology, Toxicology and Pharmaceutics
"
"Ahuja, Anjali","57194151159","2","Computer Science
Mathematics
"
"Saraswat, Amit","54919744800","15","Computer Science
Engineering
Energy
Physics and Astronomy
Decision Sciences
","0000-0002-2137-2829"
"Sharma, S. S.","57203311082","1","Engineering
Materials Science
"
"Yadav, Ankit","57191162595","8","Computer Science
Energy
Mathematics
Engineering
Physics and Astronomy
"
"Reddy, Krishna Jagadeswara","57207097978","3","Engineering
Physics and Astronomy
Materials Science
Computer Science
"
"Kumar, Rakesh Uday","57200851330","8","Biochemistry, Genetics and Molecular Biology
Mathematics
Medicine
Engineering
Physics and Astronomy
Computer Science
Immunology and Microbiology
Materials Science
Agricultural and Biological Sciences
"
"Yadav, Ashu","57192250884","9","Engineering
Physics and Astronomy
Mathematics
Biochemistry, Genetics and Molecular Biology
Medicine
Materials Science
Immunology and Microbiology
Chemical Engineering
Agricultural and Biological Sciences
Chemistry
"
"Dubey, Tarun Kumar","55762934100","5","Engineering
Computer Science
Mathematics
Multidisciplinary
"
"Vyas, Gheesa Lal","36773860900","3","Physics and Astronomy
Engineering
"
"Kumar, Ashish","56520607200","10","Computer Science
Engineering
Mathematics
Social Sciences
Physics and Astronomy
","0000-0002-6644-9754"
"Sharma, Sonal","56374161700","1","Business, Management and Accounting
"
"Reddy, A. Nanda Gopal","56096473300","2","Energy
Computer Science
"
"Misra, Kamakhya Prakash","28767808300","16","Physics and Astronomy
Materials Science
Engineering
Chemistry
Biochemistry, Genetics and Molecular Biology
Computer Science
"
"Namdev, S.","57203090621","1","Engineering
Materials Science
"
"Singh, Manju","57189902563","11","Business, Management and Accounting
Social Sciences
Economics, Econometrics and Finance
Biochemistry, Genetics and Molecular Biology
Multidisciplinary
Environmental Science
Computer Science
Decision Sciences
"
"Tiwari, Vivekananda N.","7102877658","41","Engineering
Computer Science
Physics and Astronomy
Materials Science
Earth and Planetary Sciences
Energy
Social Sciences
Environmental Science
Decision Sciences
"
"Singh, Sarika","57190070860","4","Chemical Engineering
Physics and Astronomy
Materials Science
Multidisciplinary
Environmental Science
Chemistry
"
"Midda, Md Oayes","57205062674","1","Materials Science
Physics and Astronomy
Chemistry
"
"Goyal, Nitin","36887909500","2","Engineering
Energy
Environmental Science
Multidisciplinary
Agricultural and Biological Sciences
"
"Vyas, Anil Dutt","57194565136","2","Environmental Science
"
"Kadam, H.","57204127728","1","Materials Science
Chemistry
"
"Aggarwal, Gaurav","7004312925","52","Computer Science
Engineering
Biochemistry, Genetics and Molecular Biology
Mathematics
Physics and Astronomy
Social Sciences
Decision Sciences
"
"Mehta, Ruchika","57202641260","3","Engineering
Physics and Astronomy
Energy
Chemical Engineering
Mathematics
Computer Science
"
"Rawat, Uma Shankar","55505790400","10","Computer Science
Mathematics
Physics and Astronomy
Arts and Humanities
Multidisciplinary
Engineering
","0000-0002-1293-1836"
"Yadav, Dinesh Pratap","57194608092","12","Engineering
Computer Science
Physics and Astronomy
Materials Science
Social Sciences
"
"Chhaparwal, Gaurav Kumar","57204973572","1","Engineering
Materials Science
Chemistry
"
"Agarwal, Rajat","57205289235","1","Computer Science
Social Sciences
"
"Mour, Rishabh","57205288026","1","Computer Science
Social Sciences
"
