Scopus - Affiliation details

"Affiliation name:","Manipal Academy of Higher Education"
"Scopus affiliation ID:","60016524"

"Subject areas","Documents"

"Medicine","3947"
"Biochemistry, Genetics and Molecular Biology","2044"
"Pharmacology, Toxicology and Pharmaceutics","1285"
"Engineering","984"
"Computer Science","646"
"Physics and Astronomy","591"
"Materials Science","556"
"Chemistry","489"
"Dentistry","429"
"Social Sciences","341"
"Environmental Science","334"
"Agricultural and Biological Sciences","273"
"Mathematics","245"
"Immunology and Microbiology","226"

"© 2019 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
