Scopus - Affiliation details

"Affiliation name:","Vellore Institute of Technology"
"Scopus affiliation ID:","60010618"

"Subject areas","Documents"

"Engineering","7594"
"Computer Science","4604"
"Materials Science","3025"
"Biochemistry, Genetics and Molecular Biology","2217"
"Physics and Astronomy","2159"
"Chemistry","2120"
"Pharmacology, Toxicology and Pharmaceutics","1965"
"Chemical Engineering","1547"
"Mathematics","1528"
"Medicine","1243"
"Environmental Science","1041"
"Energy","999"
"Agricultural and Biological Sciences","707"
"Immunology and Microbiology","532"

"© 2019 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
