Scopus - Affiliation details

"Affiliation name:","Manipal University Jaipur"
"Scopus affiliation ID:","60108737"

"Subject areas","Documents"

"Engineering","360"
"Computer Science","295"
"Physics and Astronomy","186"
"Materials Science","124"
"Chemical Engineering","72"
"Mathematics","65"
"Energy","60"
"Chemistry","47"
"Biochemistry, Genetics and Molecular Biology","44"
"Environmental Science","40"
"Decision Sciences","34"
"Business, Management and Accounting","33"

"© 2019 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
